,LocationID,Latitude,Longitude,Risk Band
10398,248159,30.517,77.843865,Very Critical
10406,248198,30.48425,77.7557,Very Critical
8855,180019,32.72965,74.80659,Very Critical
12910,737128,27.08,88.43,Very Critical
17017,737136,27.339833,88.655049,Very Critical
12861,734006,26.543477,88.720526,Very Critical
13294,600116,13.0396389,80.1482778,Very Critical
16876,607002,11.75,79.75,Very Critical
12813,736122,26.51,89.49,Very Critical
12830,736146,26.46,89.19,Very Critical
12267,608002,11.34,79.73,Very Critical
2,804423,22.5445999999999,88.5965999999999,Very Critical
13287,600050,13.06725,80.1119,Very Critical
17607,734015,26.543477,88.720526,Very Critical
13450,609604,10.89,79.82,Very Critical
16594,600067,13.261,80.15,Very Critical
6079,754022,20.26663,85.896005,Very Critical
11580,601301,12.913,79.981,Very Critical
15743,751020,20.2381583,85.8067416,Very Critical
11570,600069,12.996,80.059,Very Critical
11497,631604,12.8522,79.8747,Very Critical
11957,641607,13.310461,80.047033,Very Critical
16596,600095,13.047,80.126,Very Critical
11556,601101,13.331,80.069,Very Critical
13295,600116,13.0396389,80.1482778,Very Critical
11593,632311,13.466,80.1045,Very Critical
16595,600067,13.261,80.15,Very Critical
5929,756020,21.5692392,86.8049026,Very Critical
5930,756020,21.5692392,86.8049026,Very Critical
6080,754022,20.26663,85.896005,Very Critical
13288,600050,13.06725,80.1119,Very Critical
9382,400004,18.95475,72.8271667,Very Critical
2030,783380,26.485938,90.613311,Very Critical
2200,784514,26.5193093,91.9795807,Very Critical
2222,784117,26.59596,92.37003,Very Critical
2063,781137,26.1135,91.3433,Very Critical
2198,784525,26.57785,91.9503,Very Critical
2127,781126,26.1627,91.2114,Very Critical
14193,784523,26.5943518,91.9881527,Very Critical
3910,181111,32.539878,74.787832,Very Critical
2075,781124,26.04997,91.39291,Very Critical
2089,781103,26.1746,91.3401,Very Critical
2129,781368,26.4306,91.4452,Very Critical
18335,249410,29.9823056,78.1898056,Very Critical
2209,784153,26.71103,92.9009,Very Critical
17218,781377,26.4447778,91.438,Very Critical
10059,781129,26.0678,91.3928,Very Critical
2118,781334,26.4447778,91.438,Very Critical
18539,181207,32.798208,74.603442,Very Critical
10430,263126,29.76,79.83,Very Critical
2083,781128,26.0901,91.3101,Very Critical
2068,781121,26.2036,91.4716,Very Critical
2114,781375,26.4447778,91.438,Very Critical
2041,783392,26.421471,90.821068,Very Critical
17212,781134,26.073611,91.428611,Very Critical
17467,600058,13.085,80.142,Very Critical
12869,735122,26.37,88.8,Very Critical
12875,735132,26.42,88.7,Very Critical
16592,600103,13.204,80.219,Very Critical
12826,736201,26.44,89.6899999999999,Very Critical
2036,783334,26.327752,89.796633,Very Critical
18385,744204,12.92361111,92.89861111,Very Critical
15496,781007,26.1714167,91.7695,Very Critical
13983,524121,13.587081,80.034922,Very Critical
16593,600103,13.204,80.219,Very Critical
17468,600058,13.085,80.142,Very Critical
17469,600120,13.261,80.25,Very Critical
8599,603308,12.6296918,79.930912,Very Critical
10057,781035,26.1160833,91.7083333,Very Critical
10563,743426,22.5236256,88.8814857,Very Critical
13246,603110,12.741067,80.19055,Very Critical
18872,781040,26.1203667,91.7507642,Very Critical
2058,781025,26.1429,91.731,Very Critical
17749,781003,26.1844167,91.7689167,Very Critical
17751,781021,26.1838611,91.7868611,Very Critical
9765,784125,26.4348442,92.0296825,Very Critical
2065,781017,26.1373,91.6278,Very Critical
19297,781019,26.1409167,91.7628056,Very Critical
19201,781024,26.1647,91.7801,Very Critical
15375,600002,13.06772,80.26992,Very Critical
19295,781016,26.1633,91.74657,Very Critical
15494,781036,26.15101,91.79836,Very Critical
2066,781381,26.34613,91.72826,Very Critical
17634,781014,26.1552222,91.6647222,Very Critical
19301,781037,26.13384,91.82502,Very Critical
17214,781012,26.1637777,91.6903611,Very Critical
14171,781015,26.105,91.59219,Very Critical
15493,781005,26.1505833,91.7848056,Very Critical
1905,787031,27.23,94.09,Very Critical
2091,781328,26.3637,91.1032,Very Critical
2067,781380,26.345684,91.689828,Very Critical
18871,781171,26.16935,91.82668,Very Critical
2108,781318,26.2953,91.0432,Very Critical
2202,784114,26.56467,92.47638,Very Critical
1895,784161,27.01,93.92,Very Critical
2028,783390,26.173914,90.761599,Very Critical
14140,787023,27.16,94.01,Very Critical
9761,787001,27.2375556,94.1075,Very Critical
2033,783124,25.982515,90.888968,Very Critical
14179,781337,26.2618,91.4642,Very Critical
18873,781039,26.1803056,91.6816389,Very Critical
17750,781003,26.1844167,91.7689167,Very Critical
2077,781366,26.3159,91.4345,Very Critical
10055,781034,26.14179,91.74232,Very Critical
17755,781032,26.15969,91.76777,Very Critical
2104,781329,26.2942,91.1126,Very Critical
14175,781302,26.25715,91.13097,Very Critical
2125,781360,26.2648,91.2646,Very Critical
2046,783383,26.3656,90.6348,Very Critical
17752,781021,26.1838611,91.7868611,Very Critical
15497,781007,26.1714167,91.7695,Very Critical
2096,781305,26.27945,91.15628,Very Critical
2062,782402,26.0723,91.5813,Very Critical
11267,274302,27.26,83.86,Very Critical
2117,781138,26.1804,91.0839,Very Critical
3814,171211,30.313,77.40666,Very Critical
17216,781310,26.2053,91.202,Very Critical
10058,781035,26.1160833,91.7083333,Very Critical
10063,781304,26.2326,91.2033,Very Critical
19302,781037,26.13384,91.82502,Very Critical
14172,781015,26.105,91.59219,Very Critical
15495,781036,26.15101,91.79836,Very Critical
2120,781373,26.3136,91.2353,Very Critical
17759,781133,26.153358,91.645241,Very Critical
2121,781369,26.2707,91.3135,Very Critical
19202,781024,26.1647,91.7801,Very Critical
17215,781012,26.1637777,91.6903611,Very Critical
2094,781309,26.30024,91.07257,Very Critical
19298,781019,26.1409167,91.7628056,Very Critical
18870,781023,26.0802,91.5596,Very Critical
19300,781008,26.1810278,91.75,Very Critical
2092,781328,26.3637,91.1032,Very Critical
19296,781016,26.1633,91.74657,Very Critical
17754,781038,26.1291389,91.7871389,Very Critical
18453,781378,26.2625,91.1711,Very Critical
13260,600012,13.097733,80.251788,Very Critical
16773,600003,13.081506,80.27075,Very Critical
16772,600107,13.0704727,80.183588,Very Critical
13238,600008,13.0657584,80.2565679,Very Critical
13289,600037,13.0848056,80.1831667,Very Critical
16766,600014,13.0539167,80.2544167,Very Critical
9855,733134,25.6,88.12,Very Critical
16771,600084,13.078528,80.251879,Very Critical
16589,600057,13.207,80.293,Very Critical
12812,744103,11.6566196,92.732091,Very Critical
19594,600119,12.8925556,80.2278611,Very Critical
12943,733130,25.6,88.12,Very Critical
7335,482002,23.235993,79.8367307,Very Critical
16590,600057,13.207,80.293,Very Critical
12931,733141,25.42,88.73,Very Critical
13248,600006,13.0598889,80.2547778,Very Critical
18081,400089,19.0634722,72.9016944,Very Critical
13290,600037,13.0848056,80.1831667,Very Critical
16395,614712,10.54,79.76,Very Critical
16779,600009,13.07945,80.285569,Very Critical
13448,611103,10.61,79.77,Very Critical
16765,600005,13.067247,80.283664,Very Critical
18218,600131,12.871,80.156,Very Critical
16964,743223,22.6629722,88.8713889,Very Critical
13644,743233,22.6629722,88.8713889,Very Critical
13648,743412,22.6656109,88.85315,Very Critical
18346,700133,22.6629722,88.8713889,Very Critical
16591,600060,13.161,80.188,Very Critical
8596,603105,12.7263,79.9619,Very Critical
12357,609102,11.31,79.71,Very Critical
16379,609108,11.3,79.7,Very Critical
19595,600119,12.8925556,80.2278611,Very Critical
16601,600045,12.904,80.078,Very Critical
2899,394110,21.219963,73.017652,Very Critical
16355,607105,11.74,79.66,Very Critical
17661,400008,18.96856312,72.82209855,Very Critical
10073,788001,24.823637,92.801827,Very Critical
10032,785001,26.756,94.2094,Very Critical
10426,263152,29.0396802,79.2504135,Very Critical
12927,733201,25.89,87.84,Very Critical
3426,855107,26.312807,87.758139,Very Critical
2172,788006,24.8,92.8,Very Critical
15488,783135,25.6953,89.8982,Very Critical
15642,400030,19.0178056,72.8171944,Very Critical
2035,783101,26.146283,90.001166,Very Critical
9798,799120,23.54083333,91.49175,Very Critical
12937,733209,25.87,87.84,Very Critical
3627,845454,26.8144641,84.6688348,Very Critical
3569,843329,26.5766,85.2299,Very Critical
13119,711227,23.7271,91.3177,Very Critical
2163,788120,24.68,92.83,Very Critical
3371,847234,26.4594461,86.2717231,Very Critical
2034,783331,26.097525,89.946341,Very Critical
17772,854328,26.36411,87.276754,Very Critical
2032,783123,26.018715,90.383075,Very Critical
14169,783345,26.338047,90.227984,Very Critical
3332,845427,26.54525,85.220455,Very Critical
1973,785104,26.9836944,94.1563055,Very Critical
2186,788030,24.88,92.88,Very Critical
10070,788121,24.823637,92.801827,Very Critical
14164,783324,26.028078,89.942839,Very Critical
10074,788007,24.823637,92.801827,Very Critical
3922,181203,32.813954,74.325132,Very Critical
2183,788013,24.73,92.89,Very Critical
3555,843313,26.73065,85.3101,Very Critical
2166,788114,24.82,92.84,Very Critical
17747,783133,26.0426,90.3827,Very Critical
2099,781319,26.2131,90.5215,Very Critical
2160,788025,24.87,92.77,Very Critical
1901,787053,27.3,94.41,Very Critical
17198,786004,27.44,94.89,Very Critical
14165,783330,27.350733,94.350733,Very Critical
3633,845307,26.9708098,84.6112799,Very Critical
15501,788103,24.823637,92.801827,Very Critical
2161,788101,24.88,92.55,Very Critical
2167,788106,24.833269,92.7788809999999,Very Critical
2056,783337,26.298634,90.13829,Very Critical
15489,783389,26.315286,90.48091,Very Critical
2026,783349,26.101067,90.117168,Very Critical
2180,788009,24.83,92.81,Very Critical
2162,788123,24.96,92.62,Very Critical
2055,783354,26.150632,90.090892,Very Critical
19303,788109,24.823637,92.801827,Very Critical
3427,855107,26.312807,87.758139,Very Critical
2040,783129,26.020493,90.245577,Very Critical
2175,788002,24.84,92.81,Very Critical
16315,247231,30.1086432,77.4802353,Very Critical
3446,854325,26.0004969999999,87.5766579999999,Very Critical
13724,732101,25.0277777,88.14,Very Critical
15870,395001,21.1854444,72.8123056,Very Critical
9377,400067,19.2133056,72.8246944,Very Critical
8750,395007,21.16775,72.7858333,Very Critical
18991,403711,15.39811521,73.84914371,Very Critical
9358,400072,19.103481,72.890547,Very Critical
7634,415605,17.533306,73.516694,Very Critical
17019,733101,25.2302553,88.7714195,Very Critical
17839,395006,21.2145833,72.8529167,Very Critical
18076,400051,19.0572222,72.8455556,Very Critical
12929,733124,25.39,88.51,Very Critical
9373,400081,19.1670833,72.9668056,Very Critical
19524,400013,18.99515805,72.82735048,Very Critical
15629,400029,19.0811111,72.8683056,Very Critical
7647,415722,17.7195576,73.3968076,Very Critical
9362,400059,19.1161667,72.8826111,Very Critical
18280,609602,10.92,79.83,Very Critical
19001,400049,19.1110420485732,72.8254034506658,Very Critical
9364,400054,19.0925278,72.8396111,Very Critical
9391,400708,19.1523056,72.9946389,Very Critical
18089,400018,19.0160556,72.8182222,Very Critical
19011,400006,18.9547167,72.804095,Very Critical
9376,400077,19.0778085,72.8985117,Very Critical
12938,733215,25.22,88.77,Very Critical
19602,600070,12.984977,80.121856,Very Critical
9384,400025,19.015347,72.836983,Very Critical
18057,403722,15.3496014,73.9311858,Very Critical
9359,400022,19.087691,72.833477,Very Critical
7938,441225,19.9687415,79.9220686,Very Critical
18073,400024,19.0604024,72.88009,Very Critical
18082,400083,19.1143889,72.9397778,Very Critical
7673,415616,17.533305,73.516695,Very Critical
9393,400701,19.1243889,72.9976111,Very Critical
15643,400030,19.0178056,72.8171944,Very Critical
15635,400075,19.0745556,72.9188333,Very Critical
15641,400016,19.0340278,72.8425278,Very Critical
9383,400004,18.95475,72.8271667,Very Critical
4873,480771,18.927511,72.833813,Very Critical
16775,600097,12.9485833,80.2400556,Very Critical
16262,742308,25.0226,87.9393,Very Critical
19518,400027,18.9766944,72.8319444,Very Critical
4980,461116,22.62931,77.627838,Very Critical
12935,733128,25.45,88.16,Very Critical
16777,600113,12.989869,80.248739,Very Critical
3686,813209,25.3295,87.5136,Very Critical
11559,600118,13.131,80.231,Very Critical
18999,400019,19.0280127,72.8526739,Very Critical
7648,415722,17.7195576,73.3968076,Very Critical
12928,733123,25.22,88.77,Very Critical
16776,600096,12.9676944,80.2449444,Very Critical
7663,415804,17.533307,73.516693,Very Critical
9372,400074,19.0382304,72.8948391,Very Critical
9366,400056,19.1000936978221,72.8418020127965,Very Critical
19509,403806,15.3704088,73.8374243,Very Critical
12893,732216,25.162655,88.3396309999999,Very Critical
15644,400034,18.980883,72.815119,Very Critical
17662,400008,18.96856312,72.82209855,Very Critical
18088,400002,18.9600833,72.8284722,Very Critical
16547,732202,25.162655,88.339631,Very Critical
15631,400098,19.0732679053237,72.8607295231336,Very Critical
9387,400011,18.9808659,72.82491602,Very Critical
710,534318,18.150256,81.5110499,Very Critical
19510,403806,15.3704088,73.8374243,Very Critical
12368,611002,10.82,79.82,Very Critical
9355,400014,19.0208333,72.8491667,Very Critical
4981,461331,22.659986,77.570539,Very Critical
6078,754037,20.4125143,85.2186784,Very Critical
12894,732203,25.162655,88.339631,Very Critical
9352,400015,18.9771667,72.8494167,Very Critical
9351,400012,19.0053611,72.8383611,Very Critical
15630,400029,19.0811111,72.8683056,Very Critical
9357,400070,19.068181,72.877839,Very Critical
17371,403710,15.39,73.9,Very Critical
12933,733126,25.22,88.77,Very Critical
18074,400009,18.9640277,72.847,Very Critical
15204,415608,17.29725,73.5,Very Critical
18281,609602,10.92,79.83,Very Critical
4180,506165,18.3389427,80.4302719,Very Critical
19525,400017,19.0456111,72.8534444,Very Critical
2755,394315,21.06365,72.9773,Very Critical
16768,600087,13.0466111,80.1785278,Very Critical
16770,600106,13.0755375,80.2158362,Very Critical
18206,600083,13.0453611,80.2376111,Very Critical
13250,600024,13.0518333,80.2299722,Very Critical
15491,781006,26.1887778,91.7456389,Very Critical
13262,600078,13.0433889,80.2064167,Very Critical
13252,600033,13.0351389,80.2206389,Very Critical
19591,600030,13.0734139,80.2272059,Very Critical
16769,600102,13.083976,80.219653,Very Critical
18786,600035,13.0317778,80.2407222,Very Critical
18785,600086,13.0453611,80.2376111,Very Critical
13256,600031,13.07042,80.24255,Very Critical
18209,600085,13.0209722,80.2431667,Very Critical
18208,600032,13.0515278,80.2115833,Very Critical
13259,600010,13.0775387,80.2429125,Very Critical
18205,600020,13.0453611,80.2376111,Very Critical
16767,600093,13.0425556,80.2063889,Very Critical
13249,600017,13.0497,80.2402,Very Critical
13266,600022,13.0453611,80.2376111,Very Critical
13263,600078,13.0433889,80.2064167,Very Critical
13251,600092,13.05025,80.1943611,Very Critical
18210,600085,13.0209722,80.2431667,Very Critical
18207,600083,13.0453611,80.2376111,Very Critical
18435,395012,21.167772,72.877407,Very Critical
3578,841428,26.569926,84.346317,Very Critical
11326,273016,26.7385493,83.301432,Very Critical
5128,464221,21.170699,72.822255,Very Critical
15498,781026,26.18054,91.82509,Very Critical
2061,781030,26.2098,91.74197,Very Critical
4658,799004,23.831473,91.2867617,Very Critical
3428,854108,25.5172,87.5314,Very Critical
2084,781132,26.1887778,91.7456389,Very Critical
1886,785675,27.27,94.89,Very Critical
11264,274402,26.73,83.29,Very Critical
17211,781141,26.188777,91.745638,Very Critical
5840,799115,23.48381,91.3592,Very Critical
5827,799006,23.84266,91.33481,Very Critical
14206,845415,26.5952,84.8456,Very Critical
14341,854114,26.065,87.3906999999999,Very Critical
11268,274401,26.73,83.29,Very Critical
11301,271502,27.094005,81.760745,Very Critical
3688,813210,25.302,87.201,Very Critical
14136,786103,27.38,95.17,Very Critical
17753,781009,26.1718333,91.7326944,Very Critical
14208,845458,26.5656,84.5536599999999,Very Critical
2007,785692,27.0639,95.0941,Very Critical
3420,854103,25.5375,87.566,Very Critical
3450,854333,26.141224,87.4994429999999,Very Critical
11297,271402,26.92664,81.78589,Very Critical
11265,274149,26.73,83.29,Very Critical
3318,845414,26.64581,84.901458,Very Critical
3320,845416,26.5793,84.9921,Very Critical
10087,845417,26.6446944,84.9017222,Very Critical
14157,785690,26.9886944,94.6318889,Very Critical
15492,781006,26.1887778,91.7456389,Very Critical
17773,854302,25.77748,87.495059,Very Critical
3419,854317,25.5375,87.566,Very Critical
4018,815314,25.3,86.11,Very Critical
10765,222133,26.6,82.76,Very Critical
2060,782403,26.1887778,91.7456389,Very Critical
11230,272172,26.6333,82.9907,Very Critical
10033,785001,26.756,94.2094,Very Critical
2088,781131,26.1887778,91.7456389,Very Critical
11327,273016,26.7385493,83.301432,Very Critical
2082,781136,26.2302,91.7102,Very Critical
11220,272176,26.735346,83.146014,Very Critical
15339,854105,25.5441944,87.5698333,Very Critical
1885,785676,27.27,94.89,Very Critical
14728,799287,24.1656147,91.8391385,Very Critical
3416,854101,25.4502,87.2501,Very Critical
18308,273008,26.747949,83.415492,Very Critical
10730,273404,26.703129,83.382945,Very Critical
3418,855102,25.5374,87.566,Very Critical
3671,813109,25.369,87.236,Very Critical
3667,814131,25.367,87.365,Very Critical
3430,854113,25.3632777,87.6356388,Very Critical
2085,781132,26.1887778,91.7456389,Very Critical
3432,855114,25.5375,87.566,Very Critical
11256,274204,26.73,83.29,Very Critical
3423,854106,25.47311,87.4324,Very Critical
19018,400603,19.1821111,72.9758333,Very Critical
9794,402201,18.6418056,72.8723611,Very Critical
15195,403515,15.4991464,73.767466599999,Very Critical
2905,394210,21.19642,72.904119,Very Critical
4685,670307,12.1271313,75.2255558,Very Critical
19514,403002,15.4707265,73.8269809,Very Critical
15653,400605,19.1934721999999,72.9898333,Very Critical
5802,673602,11.29,76.0,Very Critical
14562,683513,10.1055948,76.2310425999999,Very Critical
19522,400101,19.207864,72.869733,Very Critical
9462,411027,18.57522222,73.82161111,Very Critical
18994,403511,15.547364,73.7825346,Very Critical
14255,395009,21.192571,72.799736,Very Critical
9394,400703,19.0733056,73.0081389,Very Critical
19530,400705,19.06409,73.010679,Very Critical
17660,400091,19.232127,72.840368,Very Critical
15657,400604,19.1860556,72.9577778,Very Critical
15601,403101,15.5079356,73.823949,Very Critical
18098,401204,19.4876389,73.0256944,Very Critical
4698,671323,12.693856,74.9018773,Very Critical
18274,608001,11.39,79.69,Very Critical
2973,396191,20.384438,73.03462,Very Critical
8744,396427,20.95,72.94,Very Critical
18084,400095,19.1948889,72.7983611,Very Critical
15073,676306,11.0489109,75.9390662,Very Critical
5725,689673,9.37,76.8,Very Critical
7761,410208,19.032,73.085,Very Critical
18064,403005,15.4817056,73.8432143,Very Critical
7942,441221,20.2164646,79.9808143,Very Critical
8746,394510,21.1865833,72.7624444,Very Critical
13959,394248,20.914869,73.275062,Very Critical
17145,676528,11.0291143,76.0377414,Very Critical
18534,575010,12.9489696,74.804309,Very Critical
19541,440035,19.98925,79.55677778,Very Critical
14803,402116,18.437209,73.135215,Very Critical
19531,410209,19.016,73.096,Very Critical
7660,415612,17.01779,73.27482,Very Critical
9395,400704,18.8999722,72.9135833,Very Critical
15646,410218,19.0267222,73.1048056,Very Critical
16131,691012,8.9,76.57,Very Critical
9396,402106,18.5415795,73.133232,Very Critical
13958,394640,21.0491234,73.2603125,Very Critical
15196,403515,15.4991464,73.767466599999,Very Critical
17937,688004,9.4193056,76.3353056,Very Critical
19013,400709,19.1035,73.0044167,Very Critical
9078,683518,10.102769,76.262947,Very Critical
17929,575001,12.8608610999999,74.83525,Very Critical
8743,396445,20.95,72.94,Very Critical
4742,678633,10.1019,76.291,Very Critical
19490,673647,11.245304,75.950804,Very Critical
18990,403701,15.1805381,73.9711474,Very Critical
14560,683519,10.1193299,76.2465119,Very Critical
18118,411061,18.591364,73.818627,Very Critical
17655,676505,11.050976,76.071097,Very Critical
14799,402401,18.3043942,72.9677179,Very Critical
4714,676517,11.067931,76.079801,Very Critical
7760,410203,18.83,73.28,Very Critical
164,494111,18.3126,81.6201,Very Critical
14549,576247,13.6888583,74.6756681,Very Critical
15602,403101,15.5079356,73.823949,Very Critical
18099,401204,19.4876389,73.0256944,Very Critical
14802,402202,18.5135800999999,72.9084601999999,Very Critical
18518,403004,15.45,73.8,Very Critical
19003,400042,19.1421845,72.9390674,Very Critical
18491,689109,9.350986,76.569052,Very Critical
2837,396560,20.89,73.17,Very Critical
2756,394315,21.06365,72.9773,Very Critical
14704,670009,11.9458753,75.3041367,Very Critical
2908,395013,21.2027253,72.9189284,Very Critical
17838,395008,21.21975,72.8485833,Very Critical
16386,610102,10.74,79.56,Very Critical
14628,689624,9.277269,76.56116,Very Critical
18000,689110,9.51,76.38,Very Critical
5756,689573,9.36,76.45,Very Critical
9456,411012,18.58252778,73.83358333,Very Critical
7751,400707,18.87,72.92,Very Critical
17107,691334,8.83,76.7,Very Critical
19019,400603,19.1821111,72.9758333,Very Critical
5757,689102,9.352097,76.550246,Very Critical
17091,690517,9.335954,76.440993,Very Critical
5812,673661,11.26,75.96,Very Critical
7753,410202,18.808462,73.286856,Very Critical
17837,394515,21.1673056,72.7006667,Very Critical
1683,581344,14.5568852,74.3506467,Very Critical
14804,402116,18.437209,73.135215,Very Critical
7908,442707,20.20286,80.000387,Very Critical
2853,396469,20.98,73.04,Very Critical
15074,676306,11.0489109,75.9390662,Very Critical
5566,686102,9.437656,76.484202,Very Critical
15871,395001,21.1854444,72.8123056,Very Critical
7639,415706,17.59315,73.16245,Very Critical
14705,670301,11.9610705999999,75.2976672,Very Critical
14809,421311,19.248997,73.074462,Very Critical
11585,631701,12.9623,80.1986,Very Critical
8133,412201,18.666715,73.899985,Very Critical
2136,788736,24.5,92.43,Very Critical
2135,788734,24.54879,92.42768,Very Critical
10178,224181,26.491125,82.968974,Very Critical
16475,273213,26.470777,83.184996,Very Critical
3668,813106,25.32,86.378,Very Critical
16466,274603,26.48,83.16,Very Critical
18745,793011,25.57552778,91.90297222,Very Critical
16208,229303,26.45,83.19,Very Critical
13565,273211,26.44,83.16778,Very Critical
19020,421305,19.1713889,73.0818889,Very Critical
18094,400607,19.2385833,72.9935833,Very Critical
7797,421204,19.3166567,73.0597075,Very Critical
7796,421503,19.2095309999999,73.3137119999999,Very Critical
7758,410207,18.99,73.11,Very Critical
7750,410206,18.87,73.05,Very Critical
9378,400068,19.246878,72.862119,Very Critical
9834,610001,10.7663611,79.6371389,Very Critical
4691,671314,12.3238568,75.2882862,Very Critical
17399,401101,19.2982232,72.824575,Very Critical
5558,683544,10.165367,76.465774,Very Critical
12286,607302,11.54,79.63,Very Critical
19533,421308,19.181,73.0818889,Very Critical
7801,421601,19.2412061,73.1290546,Very Critical
18092,421501,19.2072778,73.18275,Very Critical
9076,683571,10.127015,76.387578,Very Critical
17109,691010,8.87,76.6,Very Critical
19512,403731,15.18612012,73.94713971,Very Critical
9398,421102,19.2654722,73.173,Very Critical
18464,683102,10.129653,76.34754,Very Critical
18486,691503,8.98,76.65,Very Critical
14808,400612,19.1837702,73.0520784,Very Critical
14265,396170,20.151251,72.741488,Very Critical
14648,689641,9.35,76.72,Very Critical
19428,683543,10.132032,76.463775,Very Critical
7756,410221,18.97,73.15,Very Critical
14807,421605,19.2412101,73.1290506,Very Critical
14661,691577,8.9,76.65,Very Critical
4708,676506,11.06494,76.104451,Very Critical
9399,421102,19.2654722,73.173,Very Critical
2900,394110,21.219963,73.017652,Very Critical
7766,402404,18.1410518,72.9783429,Very Critical
9400,421502,19.2148611,73.1837222,Very Critical
15884,396180,20.487203,72.868452,Very Critical
7752,410201,18.88,73.24,Very Critical
13954,394690,20.82315,73.27597,Very Critical
19532,421506,19.1881944,73.1914444,Very Critical
4803,679573,10.834725,75.9753966,Very Critical
12292,607303,11.52,79.57,Very Critical
15652,421505,19.2088056,73.1945556,Very Critical
18465,683102,10.129653,76.34754,Very Critical
8134,412201,18.666715,73.899985,Very Critical
12287,607302,11.54,79.63,Very Critical
5659,690506,9.2332256,76.442947,Very Critical
7759,410207,18.99,73.11,Very Critical
18505,679582,10.8263089,75.9930002,Very Critical
5542,683579,10.1910215999999,76.3241268999999,Very Critical
7770,402301,18.0416999,73.3780402999999,Very Critical
18943,691006,8.87,76.59,Very Critical
5559,683544,10.165367,76.465774,Very Critical
7915,441206,20.4640611,79.9332613,Very Critical
14810,421311,19.248997,73.074462,Very Critical
2928,391310,15.59,73.82,Very Critical
8199,322212,20.382743,72.931292,Very Critical
5738,691585,8.98,76.56,Very Critical
16124,691602,8.94,76.6,Very Critical
7914,442710,18.532765,73.895477,Very Critical
19442,682505,10.04730556,76.21755556,Very Critical
7789,402306,18.1164,73.5367153,Very Critical
16102,690104,9.26354,76.541721,Very Critical
15885,396180,20.487203,72.868452,Very Critical
15647,402101,18.0752506,73.2769847,Very Critical
18944,691006,8.87,76.59,Very Critical
19021,421305,19.1713889,73.0818889,Very Critical
17021,713369,24.2808333,87.5516666,Very Critical
9466,411005,18.5231944,73.8536944,Very Critical
14797,402102,18.0790651,73.2948603,Very Critical
4721,676541,11.2103926,76.101732,Very Critical
5661,690515,9.233399,76.419887,Very Critical
12293,607303,11.52,79.57,Very Critical
5527,688506,9.475,76.47438,Very Critical
12270,608601,11.46,79.56,Very Critical
6480,764061,19.2754033,82.2382316,Very Critical
9123,680521,10.634215,76.062665,Very Critical
18211,600089,13.0178611,80.1891389,Very Critical
18212,600089,13.0178611,80.1891389,Very Critical
17433,764085,19.2679816,82.8256066,Very Critical
